MealType,HealthGroup,MinutesSinceMeal,Libre GL mean,Libre GL std,Dexcom GL mean,Dexcom GL std
Breakfast,Healthy,0.0,84.15666666666667,19.36533100690594,116.29749999999999,16.860649829061387
Breakfast,Healthy,1.0,85.23797468354431,19.128510317236305,116.03544303797467,16.83067283855987
Breakfast,Healthy,2.0,85.07257383966245,20.08790422821333,116.17215189873419,16.83880543230094
Breakfast,Healthy,3.0,86.23418803418804,19.882775489472316,115.94871794871794,16.800693736370235
Breakfast,Healthy,4.0,86.26497890295359,20.78277550758547,116.11139240506328,16.752550416943954
Breakfast,Healthy,5.0,87.52478632478632,20.60560553322759,115.94358974358975,16.782826641042032
Breakfast,Healthy,6.0,87.61518987341772,21.588930764440498,116.24556962025316,16.777578119501882
Breakfast,Healthy,7.0,89.01880341880342,21.502188612885796,116.28717948717949,16.88536105374764
Breakfast,Healthy,8.0,89.23544303797469,22.50993787606691,116.71898734177215,16.90827498782594
Breakfast,Healthy,9.0,90.6943722943723,22.520876216813225,116.59480519480519,16.967832539248285
Breakfast,Healthy,10.0,90.97179487179487,23.53672766375031,117.2102564102564,17.076083295434596
Breakfast,Healthy,11.0,91.95897435897436,23.967402660204762,117.88974358974359,17.33275998693136
Breakfast,Healthy,12.0,92.99059829059829,24.39062040134206,118.73846153846155,17.613905595570508
Breakfast,Healthy,13.0,94.03589743589744,24.82579232330691,119.7102564102564,17.881707912150844
Breakfast,Healthy,14.0,95.11367521367522,25.273150452449215,120.75641025641026,18.140108318406764
Breakfast,Healthy,15.0,96.1982905982906,25.732130995752485,121.95897435897434,18.51789892921388
Breakfast,Healthy,16.0,97.25042735042734,26.16068050952049,123.31794871794871,18.9981936502227
Breakfast,Healthy,17.0,98.26666666666667,26.537625009136388,124.89487179487179,19.37658848074606
Breakfast,Healthy,18.0,99.26153846153845,26.88016862713969,126.53589743589743,19.822628905284393
Breakfast,Healthy,19.0,100.24700854700855,27.20151534055477,128.25641025641025,20.41809478718804
Breakfast,Healthy,20.0,101.17777777777778,27.460344051568168,130.01282051282053,20.94634679101451
Breakfast,Healthy,21.0,102.08119658119658,27.68764686689335,131.68461538461537,21.37593061343553
Breakfast,Healthy,22.0,102.91709401709402,27.90543541916746,133.35641025641024,21.76995779212864
Breakfast,Healthy,23.0,103.73846153846155,28.0564587851867,135.03589743589743,22.180785965949582
Breakfast,Healthy,24.0,104.4948717948718,28.146105139845453,136.67692307692306,22.47370135841563
Breakfast,Healthy,25.0,105.21282051282051,28.250949354245417,138.2102564102564,22.72820542874692
Breakfast,Healthy,26.0,105.89487179487179,28.33209270363693,139.60256410256412,22.878322833583237
Breakfast,Healthy,27.0,106.54017094017094,28.426324790516652,140.8025641025641,23.034485577228025
Breakfast,Healthy,28.0,107.10683760683762,28.479243021669017,141.9205128205128,23.143445168752514
Breakfast,Healthy,29.0,107.63846153846153,28.537515409891345,143.12307692307692,23.401237191608104
Breakfast,Healthy,30.0,108.18205128205129,28.609938177992674,144.27692307692308,23.709239379786794
Breakfast,Healthy,31.0,108.68290598290598,28.70063463386182,145.35641025641024,23.84226624450074
Breakfast,Healthy,32.0,109.14017094017095,28.74777931518912,146.37179487179486,23.99410586408913
Breakfast,Healthy,33.0,109.55128205128206,28.797582215886486,147.3128205128205,24.159224846591123
Breakfast,Healthy,34.0,109.90170940170941,28.827964066016044,148.15641025641025,24.253908988699163
Breakfast,Healthy,35.0,110.2136752136752,28.866410442409563,148.94358974358974,24.317742919782276
Breakfast,Healthy,36.0,110.46581196581198,28.80415933888013,149.67179487179487,24.41587676687115
Breakfast,Healthy,37.0,110.63247863247864,28.77231061013102,150.2153846153846,24.585958810454617
Breakfast,Healthy,38.0,110.65982905982906,28.73192730611099,150.66923076923078,24.92375546368538
Breakfast,Healthy,39.0,110.5974358974359,28.74244979935462,151.04358974358973,25.220433839454135
Breakfast,Healthy,40.0,110.46837606837606,28.76730943759066,151.2948717948718,25.410167192220435
Breakfast,Healthy,41.0,110.29230769230769,28.688370382135602,151.55128205128204,25.56444742921254
Breakfast,Healthy,42.0,110.09316239316239,28.562250871774353,151.69230769230768,25.74239400581947
Breakfast,Healthy,43.0,109.85128205128204,28.46755156035537,151.79230769230767,25.945105732845096
Breakfast,Healthy,44.0,109.54957264957265,28.372289360691425,151.79230769230767,26.07161849040619
Breakfast,Healthy,45.0,109.24444444444445,28.315474211923064,151.82051282051282,26.27413106783863
Breakfast,Healthy,46.0,108.96752136752137,28.281923807747134,151.76923076923077,26.467899242472768
Breakfast,Healthy,47.0,108.70085470085469,28.2722136670984,151.68974358974359,26.671890888532136
Breakfast,Healthy,48.0,108.44273504273504,28.24321900632822,151.54102564102564,27.005494563083584
Breakfast,Healthy,49.0,108.12307692307692,28.184985875345554,151.3948717948718,27.3785388387399
Breakfast,Healthy,50.0,107.83418803418805,28.147616947236227,151.1051282051282,27.70605868119259
Breakfast,Healthy,51.0,107.51623931623931,28.090280008996555,150.66923076923078,28.032297271356303
Breakfast,Healthy,52.0,107.23675213675214,28.043737531064128,150.24871794871794,28.24179799834202
Breakfast,Healthy,53.0,106.98803418803418,27.881877709349208,149.8128205128205,28.575047506405646
Breakfast,Healthy,54.0,106.75299145299145,27.783379978976694,149.34102564102565,28.89157714807604
Breakfast,Healthy,55.0,106.46153846153847,27.691076217361108,148.87179487179486,29.290909442306095
Breakfast,Healthy,56.0,106.11794871794872,27.638382085067207,148.35128205128206,29.79028318698854
Breakfast,Healthy,57.0,105.7136752136752,27.601880248341658,147.77948717948718,30.25640367541992
Breakfast,Healthy,58.0,105.34786324786324,27.56529312351648,147.1974358974359,30.73018725820604
Breakfast,Healthy,59.0,104.98717948717949,27.538782429231283,146.57692307692307,31.2457204262447
Breakfast,Healthy,60.0,104.60427350427351,27.521326564019695,146.05128205128204,31.817685777019186
Breakfast,Healthy,61.0,104.23333333333333,27.491956058229974,145.61025641025643,32.27266782038772
Breakfast,Healthy,62.0,103.88547008547009,27.470305936004944,145.26666666666665,32.61981975260808
Breakfast,Healthy,63.0,103.52991452991452,27.46064511272505,144.85897435897436,32.93012056602345
Breakfast,Healthy,64.0,103.16495726495727,27.422944068751285,144.44615384615383,33.27728327880121
Breakfast,Healthy,65.0,102.77948717948718,27.38331468186281,144.06410256410257,33.64939927044867
Breakfast,Healthy,66.0,103.07445887445888,26.8949156568704,143.9844155844156,34.23203741393767
Breakfast,Healthy,67.0,102.73852813852814,26.85815625567476,143.812987012987,34.56521430057342
Breakfast,Healthy,68.0,101.74102564102564,27.2995673197649,143.53846153846155,34.636236676476436
Breakfast,Healthy,69.0,102.0900432900433,26.794545936760443,143.65714285714287,35.023343450706776
Breakfast,Healthy,70.0,101.81558441558442,26.78488466146422,143.43636363636364,35.13275166044428
Breakfast,Healthy,71.0,100.8059829059829,27.23329637176578,142.88974358974357,34.94175706724529
Breakfast,Healthy,72.0,101.13593073593074,26.719306469180108,142.72987012987014,35.09910429557046
Breakfast,Healthy,73.0,100.83376623376623,26.673154086701828,142.36363636363637,35.12768779411428
Breakfast,Healthy,74.0,99.86581196581196,27.08682739997836,141.7153846153846,34.87377639029474
Breakfast,Healthy,75.0,100.21298701298701,26.57787638862023,141.45454545454547,34.93019559912744
Breakfast,Healthy,76.0,99.88051948051948,26.54868932715413,140.97922077922078,34.67546659520752
Breakfast,Healthy,77.0,98.88205128205128,26.98898481538906,140.20769230769233,34.312898522203064
Breakfast,Healthy,78.0,99.1974025974026,26.53426217531066,140.14805194805194,34.14622430537607
Breakfast,Healthy,79.0,98.88917748917748,26.55462561524897,139.82597402597403,33.973834369057585
Breakfast,Healthy,80.0,97.91794871794872,27.014070243485907,139.0974358974359,33.8102381111432
Breakfast,Healthy,81.0,98.28571428571429,26.53148600009871,139.26233766233767,33.6821092560593
Breakfast,Healthy,82.0,97.98354978354979,26.51366889192115,139.00779220779222,33.46813789669279
Breakfast,Healthy,83.0,97.03589743589744,26.999703258072604,138.24102564102563,33.34553236648846
Breakfast,Healthy,84.0,97.44069264069265,26.565866847992776,138.55584415584414,33.063266680023325
Breakfast,Healthy,85.0,97.26926406926407,26.611960204262818,138.4077922077922,32.95354691489285
Breakfast,Healthy,86.0,96.4042735042735,27.051808217202925,137.63076923076923,32.82647137261669
Breakfast,Healthy,87.0,96.89696969696969,26.54916556976554,137.85974025974028,32.48862254187594
Breakfast,Healthy,88.0,96.74372294372294,26.50319425730337,137.50909090909093,32.33355020562266
Breakfast,Healthy,89.0,95.92222222222222,26.912476208282573,136.66153846153847,32.31485216320308
Breakfast,Healthy,90.0,96.43290043290042,26.406960413680014,136.84675324675325,32.14465489010733
Breakfast,Healthy,91.0,96.26926406926407,26.36615640724006,136.46493506493505,31.953592031972356
Breakfast,Healthy,92.0,95.44358974358975,26.81305883930672,135.55897435897435,31.935509023604695
Breakfast,Healthy,93.0,95.96796536796536,26.31258034203591,135.65974025974026,31.730179307388358
Breakfast,Healthy,94.0,95.84588744588744,26.28283022967469,135.33246753246755,31.667459811870476
Breakfast,Healthy,95.0,95.03760683760684,26.720848829402147,134.52564102564102,31.704055359009303
Breakfast,Healthy,96.0,95.57402597402597,26.21264628466441,134.7038961038961,31.6536122556521
Breakfast,Healthy,97.0,95.44329004329005,26.1909380476686,134.412987012987,31.6107133348696
Breakfast,Healthy,98.0,94.66068376068377,26.622719600919787,133.71794871794873,31.615193386731846
Breakfast,Healthy,99.0,95.22943722943724,26.079669869978705,133.92727272727274,31.442025331358646
Breakfast,Healthy,100.0,95.12727272727273,26.02666240162592,133.65714285714287,31.312429970806985
Breakfast,Healthy,101.0,94.38803418803418,26.400609428423774,133.13333333333333,31.194682641569297
Breakfast,Healthy,102.0,94.99134199134198,25.689796710887144,133.4961038961039,31.139425177901348
Breakfast,Healthy,103.0,94.8900432900433,25.47783755692482,133.4831168831169,31.129227265661626
Breakfast,Healthy,104.0,94.11709401709402,25.827236394669487,133.11025641025643,30.995008352806465
Breakfast,Healthy,105.0,94.71428571428571,25.0747020928654,133.44675324675325,30.949498696797143
Breakfast,Healthy,106.0,94.61558441558441,24.877491402705452,133.52987012987012,30.857205355497324
Breakfast,Healthy,107.0,93.83076923076923,25.277250960882114,133.2051282051282,30.73234218989592
Breakfast,Healthy,108.0,94.41558441558442,24.491022095596684,133.56623376623378,30.713693201934046
Breakfast,Healthy,109.0,94.28484848484848,24.28331710523037,133.53766233766234,30.675882173052656
Breakfast,Healthy,110.0,93.41880341880342,24.6773649373741,133.1128205128205,30.550015873375095
Breakfast,Healthy,111.0,93.24615384615385,24.474954793490674,132.97435897435898,30.44994801308097
Breakfast,Healthy,112.0,93.07264957264958,24.26869119069613,132.8051282051282,30.40944785448297
Breakfast,Healthy,113.0,92.88632478632478,24.06531302682954,132.62564102564102,30.405832642351022
Breakfast,Healthy,114.0,92.67777777777778,23.87732818693921,132.43846153846155,30.46355382892994
Breakfast,Healthy,115.0,92.44102564102563,23.69508136506142,132.24615384615385,30.51393419112291
Breakfast,Healthy,116.0,92.19658119658119,23.465301262510202,132.08461538461538,30.530674704337898
Breakfast,Healthy,117.0,91.96068376068376,23.32330380834801,131.95384615384614,30.577607001694066
Breakfast,Healthy,118.0,91.68034188034189,23.073745526847887,131.77435897435896,30.618123127805593
Breakfast,Healthy,119.0,91.39059829059829,22.831404726232716,131.5076923076923,30.589357156187035
Breakfast,Healthy,120.0,91.07350427350427,22.575954439928314,131.1948717948718,30.5541711711736
Breakfast,Type 2 diabetic,0.0,109.505,15.597383720271127,134.55,19.13545507756847
Breakfast,Type 2 diabetic,1.0,110.19833333333334,15.77560226364201,134.57999999999998,19.09510878437668
Breakfast,Type 2 diabetic,2.0,111.06666666666668,16.010473779850198,134.59,19.060440977490792
Breakfast,Type 2 diabetic,3.0,112.025,16.336613572584223,134.67000000000002,19.005292110491972
Breakfast,Type 2 diabetic,4.0,113.08666666666666,16.73209856853355,134.76,18.92967823151566
Breakfast,Type 2 diabetic,5.0,114.16833333333334,17.161057003951637,134.91,18.93399872431356
Breakfast,Type 2 diabetic,6.0,115.27833333333334,17.647093737466164,135.005,18.852381336353293
Breakfast,Type 2 diabetic,7.0,116.47333333333333,18.22213550114865,135.16,18.767795657619295
Breakfast,Type 2 diabetic,8.0,117.72,18.853087439008654,135.425,18.713943108459706
